movie_id,actor_id,cast_id,char_name,char_gender,order
49521,73968,2,Clark Kent / Kal-El,2,0
49521,9273,3,Lois Lane,1,1
49521,335,9,General Zod,2,2
49521,1269,10,Jonathan Kent,2,3
49521,2882,4,Martha Kent,1,4
49521,934,8,Jor-El,2,5
49521,2975,12,Perry White,2,6
49521,43202,17,Faora-Ul,1,7
49521,22227,11,Colonel Hardy,2,8
49521,213049,13,Lana Lang,1,9
49521,77223,15,Emerson,2,10
2454,25130,1,Prince Caspian,2,0
2454,5528,3,Peter Pevensie,2,1
2454,5529,4,Susan Pevensie,1,2
2454,5527,36,Edmund Pevensie,2,3
2454,5526,2,Lucy Pevensie,1,4
2454,2166,5,King Miraz,2,5
2454,25132,6,Queen Prunaprismia,1,6
2454,22970,7,Trumpkin,2,7
2454,11184,8,Nikabrik,2,8
2454,25133,9,Doktor Cornelius,2,9
2454,17839,10,Lord Glozell,2,10
24428,3223,46,Tony Stark / Iron Man,2,0
24428,16828,2,Steve Rogers / Captain America,2,1
24428,103,32,Bruce Banner / The Hulk,2,2
24428,74568,4,Thor Odinson,2,3
24428,1245,34,Natasha Romanoff / Black Widow,1,4
24428,17604,33,Clint Barton / Hawkeye,2,5
24428,91606,35,Loki,2,6
24428,9048,38,Agent Phil Coulson,2,7
24428,71189,37,Agent Maria Hill,1,8
24428,1640,41,Erik Selvig,2,9
24428,2231,36,Director Nick Fury,2,10
1865,85,15,Captain Jack Sparrow,2,0
1865,955,7,Angelica Teach,1,1
1865,6972,2,"Captain Edward ""Blackbeard"" Teach",2,2
1865,2449,13,Joshamee Gibbs,2,3
1865,118,8,Captain Hector Barbossa,2,4
1865,237455,21,Philip Swift,2,5
1865,469759,20,Syrena,0,6
1865,1115,11,Scrum,2,7
1865,4031,67,Lieutenant Theodore Groves,2,8
1865,1712,26,Lieutenant Gillette,0,9
1865,59129,16,The Spaniard,2,10
41154,2888,4,Agent J,2,0
41154,2176,5,Agent K,2,1
41154,16851,6,Young Agent K,2,2
41154,72873,15,Griffin,2,3
41154,7056,10,Agent O,1,4
41154,55936,31,Boris The Animal,0,5
41154,151246,11,Boris's Girlfriend,1,6
41154,59860,13,Young Agent O,1,7
41154,19278,14,Andy Warhol,2,8
41154,87070,33,Jeffrey Price,2,9
41154,33533,34,Agent X,2,10
122917,7060,10,Bilbo Baggins,2,0
122917,1327,20,Gandalf,2,1
122917,30315,17,Thorin Oakenshield,2,2
122917,25136,30,Balin,2,3
122917,95047,27,Dwalin,2,4
122917,67123,35,Bifur,2,5
122917,34715,26,Bofur,2,6
122917,1193834,36,Bombur,0,7
122917,152566,4,Fili,2,8
122917,207558,21,Kili,2,9
122917,534336,38,Oin,2,10
1930,37625,56,Peter Parker / Spider-Man,2,0
1930,54693,57,Gwen Stacy,1,1
1930,7026,58,Dr. Curt Connors / The Lizard,2,2
1930,5724,59,Captain Stacy,2,3
1930,55152,62,Richard Parker,2,4
1930,76793,60,Rajit Ratha,2,5
1930,8349,54,Uncle Ben,2,6
1930,35,55,Aunt May,1,7
1930,558928,64,Peter Parker (Age 4),2,8
1930,231547,63,Flash Thompson,2,9
1930,6368,61,Mary Parker,1,10
20662,934,1,Robin Longstride,2,0
20662,112,2,Marion Loxley,1,1
20662,2201,14,Sir Walter Loxley,2,2
20662,227,13,William Marshal,2,3
20662,2983,12,Godfrey,2,4
20662,25072,15,Prince John,2,5
20662,6413,17,King Richard the Lionheart,2,6
20662,20300,31,Eleanor of Aquitaine,1,7
20662,13633,16,Friar Tuck,2,8
20662,15576,3,Sheriff of Nottingham,2,9
20662,79072,18,Little John,2,10
57158,7060,3,Bilbo Baggins,2,0
57158,1327,7,Gandalf,2,1
57158,30315,26,Thorin Oakenshield,2,2
57158,25136,35,Balin,2,3
57158,95047,36,Dwalin,2,4
57158,67123,33,Bifur,2,5
57158,34715,37,Bofur,2,6
57158,1193834,32,Bombur,0,7
57158,152566,21,Fili,2,8
57158,207558,34,Kili,2,9
57158,71580,19,Smaug / The Necromancer,2,10
2268,45589,43,Lyra Belacqua,1,0
2268,2227,21,Marisa Coulter,1,1
2268,8784,22,Lord Asriel,2,2
2268,16431,25,Lee Scoresby,2,3
2268,10912,24,Serafina Pekkala,1,4
2268,1281,45,Pantalaimon (voice),2,5
2268,1327,44,Iorek Byrnison (voice),2,6
2268,45585,37,Roger Parslow,2,7
2268,6972,26,Ragnar Sturlusson (voice),2,8
2268,5470,50,Stelmania (voice),1,9
2268,8534,60,Hester (voice),1,10
254,3489,5,Ann Darrow,1,0
254,70851,6,Carl Denham,2,1
254,3490,7,Jack Driscoll,2,2
254,3491,8,Captain Englehorn,2,3
254,3492,9,Preston,2,4
254,1333,10,Kong / Lumpy,2,5
254,3493,11,Hayes,2,6
254,478,12,Jimmy,2,7
254,3494,13,Choy,2,8
254,3495,14,Herb,2,9
254,3496,15,Mike,2,10
597,204,20,Rose DeWitt Bukater,1,0
597,6193,21,Jack Dawson,2,1
597,3713,22,Ruth Dewitt Bukater,1,2
597,1954,23,Caledon 'Cal' Hockley,2,3
597,8534,24,Molly Brown,1,4
597,8535,25,Old Rose,1,5
597,2053,26,Brock Lovett,2,6
597,1369,27,Captain Edward James Smith,2,7
597,2076,28,Spicer Lovejoy,2,8
597,8536,29,Thomas Andrews,2,9
597,8537,30,Bruce Ismay,2,10
271110,16828,9,Steve Rogers / Captain America,2,0
271110,3223,10,Tony Stark / Iron Man,2,1
271110,1245,14,Natasha Romanoff / Black Widow,1,2
271110,60898,15,Bucky Barnes / Winter Soldier,2,3
271110,53650,17,Sam Wilson / Falcon,2,4
271110,1896,27,Lieutenant James Rhodes / War Machine,2,5
271110,17604,18,Clint Barton / Hawkeye,2,6
271110,172069,11,T'Challa / Black Panther,2,7
271110,6162,26,Vision,2,8
271110,550843,23,Wanda Maximoff / Scarlet Witch,1,9
271110,22226,28,Scott Lang / Ant-Man,2,10
44833,60900,3,Lieutenant Alex Hopper,2,0
44833,28846,8,Commander Stone Hopper,2,1
44833,131519,4,Petty Officer Cora 'Weps' Raikes,1,2
44833,131520,6,Sam,1,3
44833,13275,21,Captain Yugi Nagata,2,4
44833,3896,9,Admiral Shane,2,5
