movie_id,keyword_id
19995,1463
19995,2964
19995,3386
19995,3388
19995,3679
19995,3801
19995,9685
19995,9840
19995,9882
19995,9951
19995,10148
19995,10158
19995,10987
19995,11399
19995,13065
19995,14643
19995,14720
19995,165431
19995,193554
19995,206690
19995,209714
285,270
285,726
285,911
285,1319
285,2038
285,2052
285,2580
285,2660
285,3799
285,5740
285,5941
285,6155
285,6211
285,12988
285,157186
285,179430
206647,470
206647,818
206647,4289
206647,9663
206647,14555
206647,156095
206647,158431
49026,849
49026,853
49026,949
49026,1308
49026,1437
49026,3051
49026,3562
49026,6969
49026,7002
49026,9665
49026,9715
49026,9990
49026,10044
49026,13015
49026,14796
49026,18933
49026,156082
49026,156395
49026,173272
49026,179093
49026,230775
49529,818
49529,839
49529,1456
49529,3801
49529,7376
49529,9951
49529,10028
49529,10539
49529,10685
49529,161511
49529,163252
49529,179102
49529,190320
49529,195446
49529,207928
49529,209714
559,851
559,1453
559,1965
559,2038
559,3446
559,3986
559,4391
559,4959
559,5776
559,5789
559,5857
559,6062
559,8828
559,9663
559,9715
559,9748
38757,1562
38757,2343
38757,2673
38757,3205
38757,4344
38757,7376
38757,10336
38757,33787
38757,155658
38757,162219
38757,163545
38757,179411
38757,179431
38757,215258
38757,234183
99861,8828
99861,9663
99861,9715
99861,9717
99861,10629
99861,155030
99861,179431
99861,180547
99861,209714
767,616
767,2343
767,3872
767,3884
767,6333
767,10164
767,10791
767,12564
209112,849
209112,7002
209112,9715
209112,9717
209112,9748
209112,163455
209112,195242
209112,195243
209112,229266
1452,83
1452,849
1452,8872
1452,9663
1452,9715
1452,9717
1452,163420
1452,163455
1452,179102
1452,202526
10764,627
10764,1568
10764,4289
10764,156095
58,616
58,663
58,910
58,911
58,1299
58,1316
58,1317
58,1319
58,1461
58,3799
58,5600
58,12988
58,157186
58,179430
57201,1556
57201,2673
57201,5385
57201,5901
57201,9104
57201,9503
57201,10685
57201,10909
57201,13008
57201,178867
57201,179419
57201,222787
57201,228232
49521,83
49521,849
49521,9715
49521,9717
49521,10761
49521,14909
49521,161184
49521,163455
49521,229266
2454,818
2454,855
2454,1155
2454,2043
2454,3714
2454,4391
2454,4820
2454,5144
2454,6150
2454,6464
2454,166930
2454,170362
24428,242
24428,5539
24428,8828
24428,9715
24428,9717
24428,14909
24428,155030
24428,179430
24428,179431
24428,180547
1865,658
1865,1316
1865,1860
1865,1938
1865,2569
1865,3180
1865,3625
1865,3799
1865,4235
1865,5938
1865,12988
1865,13065
1865,14643
1865,157186
1865,179430
1865,209714
41154,4379
41154,5455
41154,9951
41154,174915
41154,185668
41154,208756
122917,417
122917,603
122917,604
122917,606
122917,609
122917,611
122917,12554
122917,14643
122917,167982
122917,188270
122917,234213
1930,1872
1930,7002
1930,8803
1930,8828
1930,156855
1930,158124
1930,158456
1930,161184
1930,163455
1930,163561
1930,171556
1930,179431
20662,4147
20662,4393
20662,10466
20662,11525
20662,18101
20662,41406
20662,161257
20662,186686
57158,603
57158,604
57158,606
57158,611
57158,12554
57158,177912
57158,234213
2268,392
2268,1461
2268,1706
2268,2596
2268,6464
2268,6678
2268,13014
2268,18165
2268,223438
254,774
254,776
254,837
254,886
254,887
254,911
254,1299
254,1551
254,3799
254,12616
597,2580
597,2984
597,3799
597,4210
597,4388
597,4953
597,6917
597,7579
597,9673
597,10617
597,10703
597,14514
597,156395
597,165086
597,182615
597,182621
597,182625
597,209714
597,210184
271110,393
271110,6091
271110,8828
271110,9663
271110,9715
271110,9717
271110,156395
271110,179430
271110,179431
271110,180547
271110,209714
44833,1721
44833,4410
44833,11265
44833,12354
44833,13042
44833,14760
44833,14946
44833,160855
44833,160856
44833,160860
44833,160861
44833,160865
44833,160866
44833,160868
44833,160873
44833,160875
44833,160876
44833,160879
44833,160880
44833,160881
44833,160884
44833,160885
44833,160887
44833,179430
44833,227328
44833,227329
135397,1299
135397,1718
135397,1720
135397,1766
135397,2041
135397,9663
135397,9937
135397,10617
135397,10685
135397,12616
135397,155582
135397,158130
135397,158340
135397,178010
135397,209714
135397,223059
37724,470
37724,4289
37724,9740
37724,15127
37724,15478
37724,156095
37724,156345
37724,156395
37724,159932
37724,163841
37724,185071
37724,185077
558,851
558,2038
558,5983
558,8828
558,9663
558,9715
558,13005
558,14760
558,14991
558,34079
558,163074
68721,949
68721,5597
68721,6335
68721,8613
68721,8828
68721,9715
68721,9717
68721,12555
68721,173776
68721,179430
68721,180547
68721,188721
68721,209714
68721,209748
68721,209822
68721,209823
12155,818
12155,855
12155,2011
12155,2486
12155,12552
12155,170362
12155,209714
36668,1852
36668,8828
36668,9717
36668,10761
36668,161271
36668,161893
36668,179430
62211,1299
62211,5984
62211,6186
62211,10336
62211,12392
62211,13160
62211,163303
62211,179430
8373,1160
8373,1670
8373,4630
8373,8264
8373,9854
8373,10607
8373,11117
8373,14544
8373,156395
8373,179431
91314,9663
91314,9951
91314,10607
91314,10891
91314,14544
91314,156395
91314,166594
68728,291
68728,616
68728,2343
68728,3929
68728,4662
68728,44451
68728,172365
68728,177912
68728,209714
102382,1523
102382,8828
102382,9663
102382,9717
102382,13040
102382,33977
102382,41594
102382,163455
20526,310
20526,1308
20526,4286
20526,4565
20526,6104
20526,9758
20526,12965
20526,14735
20526,185351
20526,236778
49013,830
49013,9663
49013,10267
49013,11500
49013,12392
49013,179431
44912,849
44912,4375
44912,9715
44912,9951
44912,15250
44912,15252
44912,15254
44912,163455
44912,202540
44912,209714
10193,1562
10193,3616
10193,4290
10193,5462
10193,10336
10193,10685
10193,33794
10193,158162
10193,179431
10193,187065
10193,209386
10193,209387
10193,224516
534,83
534,310
534,530
534,582
534,679
534,1373
534,1420
534,4458
534,4565
534,6092
534,6112
534,11159
534,12670
168259,830
168259,3428
168259,9748
168259,9937
168259,33885
168259,40870
168259,205399
72190,4565
72190,12332
72190,12377
72190,160381
72190,180635
72190,186565
127585,1228
127585,1852
127585,4379
127585,8828
127585,9717
127585,10761
127585,14527
127585,161271
127585,179430
127585,206736
54138,1612
54138,6054
54138,9663
54138,9685
54138,9882
54138,9951
54138,156395
54138,161176
54138,179569
54138,209714
81005,179411
81005,189099
64682,818
64682,1326
64682,1523
64682,3929
64682,209714
9543,1241
9543,1965
9543,12653
9543,12654
9543,12655
9543,41645
68726,4565
68726,10891
68726,11100
68726,12332
68726,156395
68726,179431
68726,209714
38356,305
38356,1612
38356,2052
38356,3088
38356,10158
38356,10244
38356,10607
38356,10891
38356,15246
38356,15247
38356,15248
38356,179431
217,83
217,483
217,1294
217,1454
217,1547
217,2650
217,4276
217,4939
217,5566
217,5967
217,6956
217,9830
217,18524
217,41586
217,176731
217,184134
105864,1720
105864,9713
105864,12026
105864,12616
105864,13073
105864,14527
105864,18330
105864,187864
105864,189092
62177,388
62177,526
62177,3930
62177,4152
62177,4393
62177,4896
62177,10468
62177,14753
62177,15161
62177,41538
62177,53995
62177,162715
62177,179430
62177,181181
62177,187056
62177,189098
62177,209714
188927,9663
188927,9743
188927,158449
188927,161176
10681,9799
5174,1704
14161,2163
14161,5096
14161,10150
14161,10617
14161,12332
14161,14796
14161,163398
14161,208090
14161,230910
14161,232318
14161,232339
17979,65
17979,818
17979,8250
17979,10594
17979,33965
17979,33966
17979,161174
17979,162846
17979,170457
17979,180975
17979,207317
76757,306
76757,9882
76757,187056
76757,209714
76757,212760
258489,409
258489,5650
258489,7347
258489,10787
258489,158130
411,83
411,616
411,818
411,1155
411,1430
411,1442
411,1990
411,2042
411,2043
411,6187
411,14643
411,166930
411,170362
411,179431
246655,1852
246655,4769
246655,8828
246655,9715
246655,9717
246655,10761
246655,12332
246655,155030
246655,176217
246655,179430
246655,208289
155,849
155,853
155,1308
155,3151
155,4426
155,4630
155,6969
155,7002
155,9537
155,9715
155,9717
155,10044
155,10291
155,18023
155,33518
155,156395
155,163074
155,163455
155,230775
14160,965
14160,1291
14160,9903
14160,10336
14160,175715
14160,179431
14160,221536
15512,9951
15512,10891
15512,179431
1726,539
1726,6163
1726,8613
1726,8828
1726,9715
1726,9717
1726,12555
1726,173776
1726,179430
1726,180547
1726,208630
1726,209756
44826,295
44826,1507
44826,2793
44826,2849
44826,4290
44826,5202
44826,9673
44826,13014
44826,14544
44826,14545
44826,18028
44826,33490
44826,41372
44826,156149
44826,209714
8487,10028
8487,10988
8487,163671
8487,171636
297761,849
297761,1296
297761,2095
297761,3269
297761,3289
297761,9715
297761,194404
297761,229266
2698,494
2698,1850
2698,2587
2698,3848
2698,5905
2698,6038
2698,6150
2698,6603
2698,10084
2698,18165
2698,18330
2698,179431
2698,210450
137113,563
137113,1521
137113,2062
137113,4565
137113,6091
137113,9951
137113,11109
137113,13065
137113,14909
137113,204318
9804,270
9804,331
9804,1852
9804,4237
9804,4565
9804,34161
14869,949
14869,1328
14869,1562
14869,1576
14869,3467
14869,6086
14869,8570
14869,9748
14869,9826
14869,10563
14869,14601
14869,14760
14869,155551
14869,156075
14869,191574
150540,1566
150540,6513
150540,7942
150540,10336
150540,18035
150540,18253
150540,161155
150540,163227
150540,179431
150540,209714
150540,211269
278927,818
278927,1585
278927,1994
278927,2857
278927,4809
278927,5650
278927,8775
278927,9714
278927,10468
278927,10787
278927,11477
278927,13014
278927,18165
278927,167625
10138,8613
10138,8828
10138,9715
10138,9717
10138,9748
10138,179430
10138,180547
58595,2011
58595,2343
58595,3205
58595,4978
58595,5774
58595,9758
58595,15184
58595,161302
58595,169341
58595,169343
58595,173003
58595,181976
58595,199814
102651,3205
102651,3289
102651,7430
102651,177895
102651,179411
102651,186846
102651,186847
102651,186849
102651,209714
119450,3077
119450,4090
119450,4458
119450,4565
119450,5774
119450,9663
119450,9720
119450,14759
119450,14760
119450,15149
119450,158025
119450,158130
119450,188959
119450,209714
64686,233
64686,236
64686,1462
64686,9672
64686,18098
64686,155198
64686,155242
64686,183528
64686,209714
100402,521
100402,2964
100402,5539
100402,8828
100402,9715
100402,9717
100402,173775
100402,179430
100402,179431
100402,180547
100402,209714
100402,209817
10192,189111
10192,209714
158852,1436
158852,12332
